------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      9  |      0.9507  |     0.9727  |   0.9356  |               |              3.9677  |
|          |   eval  |      0.9507  |     0.9727  |   0.9356  |       0.9417  |              4.1371  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4141  |     0.7148  |   0.6892  |               |              0.4208  |
|          |      1  |      1.2695  |     0.8125  |   0.7438  |               |              0.8381  |
|          |      2  |      1.2051  |     0.8359  |   0.7766  |               |              1.2582  |
|          |      3  |      1.1924  |     0.8379  |   0.7774  |               |              1.6421  |
|          |      4  |      1.1357  |     0.8799  |   0.8611  |               |              2.0282  |
|          |      5  |      1.1035  |     0.8867  |   0.8619  |               |              2.4116  |
|          |      6  |      1.0205  |     0.9365  |   0.8943  |               |              2.7964  |
|          |      7  |      1.0273  |     0.9316  |   0.9043  |               |              3.1830  |
|          |      8  |      0.9585  |     0.9688  |   0.9285  |               |              3.5661  |
|          |      9  |      0.9326  |     0.9844  |   0.9342  |               |              3.9198  |
|          |   eval  |      0.9326  |     0.9844  |   0.9342  |       0.9399  |              4.0895  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4043  |     0.7207  |   0.6871  |               |              0.4650  |
|          |      1  |      1.3066  |     0.7656  |   0.7568  |               |              0.8837  |
|          |      2  |      1.1836  |     0.8545  |   0.7919  |               |              1.3041  |
|          |      3  |      1.1406  |     0.8740  |   0.7793  |               |              1.6884  |
|          |      4  |      1.1523  |     0.8486  |   0.8415  |               |              2.0753  |
|          |      5  |      1.0869  |     0.8975  |   0.8627  |               |              2.4584  |
|          |      6  |      1.0459  |     0.9131  |   0.8885  |               |              2.8446  |
|          |      7  |      1.0205  |     0.9316  |   0.9043  |               |              3.2294  |
|          |      8  |      0.9746  |     0.9590  |   0.9225  |               |              3.6134  |
|          |      9  |      0.9434  |     0.9766  |   0.9309  |               |              3.9680  |
|          |   eval  |      0.9434  |     0.9766  |   0.9309  |       0.9405  |              4.1395  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4121  |     0.6982  |   0.7062  |               |              0.4758  |
|          |      1  |      1.2988  |     0.7998  |   0.6558  |               |              0.8949  |
|          |      2  |      1.2295  |     0.8213  |   0.8098  |               |              1.3156  |
|          |      3  |      1.1680  |     0.8428  |   0.7697  |               |              1.7000  |
|          |      4  |      1.0986  |     0.8838  |   0.8523  |               |              2.0880  |
|          |      5  |      1.0742  |     0.9170  |   0.8526  |               |              2.4717  |
|          |      6  |      1.0537  |     0.9131  |   0.8761  |               |              2.8582  |
|          |      7  |      1.0059  |     0.9453  |   0.8922  |               |              3.2431  |
|          |      8  |      0.9604  |     0.9707  |   0.9224  |               |              3.6279  |
|          |      9  |      0.9453  |     0.9756  |   0.9334  |               |              3.9834  |
|          |   eval  |      0.9453  |     0.9756  |   0.9334  |       0.9410  |              4.1557  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9402    Std: 0.0012
Mean training time (s): 3.9085    Std: 0.0481
/workspace/ESE3060-Final-Project/logs/baseline/20251209-021031/log.pt
