------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      8  |      0.9907  |     0.9551  |   0.9123  |               |              2.6626  |
|          |      9  |      0.9639  |     0.9736  |   0.9257  |               |              2.9173  |
|          |   eval  |      0.9639  |     0.9736  |   0.9257  |       0.9333  |              3.0438  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4141  |     0.7061  |   0.6019  |               |              0.3371  |
|          |      1  |      1.3027  |     0.7783  |   0.7183  |               |              0.6464  |
|          |      2  |      1.2314  |     0.8193  |   0.7925  |               |              0.9590  |
|          |      3  |      1.1953  |     0.8389  |   0.7979  |               |              1.2368  |
|          |      4  |      1.1416  |     0.8701  |   0.8547  |               |              1.5126  |
|          |      5  |      1.1299  |     0.8682  |   0.8025  |               |              1.7905  |
|          |      6  |      1.0762  |     0.9023  |   0.8621  |               |              2.0694  |
|          |      7  |      1.0391  |     0.9248  |   0.8772  |               |              2.3473  |
|          |      8  |      1.0029  |     0.9424  |   0.9077  |               |              2.6238  |
|          |      9  |      0.9907  |     0.9521  |   0.9220  |               |              2.8790  |
|          |   eval  |      0.9907  |     0.9521  |   0.9220  |       0.9325  |              3.0053  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4512  |     0.7139  |   0.6720  |               |              0.3781  |
|          |      1  |      1.2461  |     0.8125  |   0.6416  |               |              0.6892  |
|          |      2  |      1.2119  |     0.8320  |   0.6849  |               |              1.0001  |
|          |      3  |      1.1807  |     0.8418  |   0.7433  |               |              1.2788  |
|          |      4  |      1.1367  |     0.8555  |   0.7635  |               |              1.5572  |
|          |      5  |      1.1260  |     0.8789  |   0.8361  |               |              1.8362  |
|          |      6  |      1.0518  |     0.9170  |   0.8774  |               |              2.1145  |
|          |      7  |      1.0508  |     0.9150  |   0.8818  |               |              2.3931  |
|          |      8  |      1.0127  |     0.9375  |   0.9163  |               |              2.6698  |
|          |      9  |      0.9697  |     0.9688  |   0.9240  |               |              2.9270  |
|          |   eval  |      0.9697  |     0.9688  |   0.9240  |       0.9287  |              3.0523  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4170  |     0.7070  |   0.6355  |               |              0.3550  |
|          |      1  |      1.2803  |     0.8027  |   0.7341  |               |              0.6659  |
|          |      2  |      1.2207  |     0.8369  |   0.7658  |               |              0.9786  |
|          |      3  |      1.1523  |     0.8604  |   0.7985  |               |              1.2568  |
|          |      4  |      1.1475  |     0.8730  |   0.8462  |               |              1.5323  |
|          |      5  |      1.1318  |     0.8662  |   0.8140  |               |              1.8092  |
|          |      6  |      1.0557  |     0.9111  |   0.8746  |               |              2.0877  |
|          |      7  |      1.0332  |     0.9258  |   0.8891  |               |              2.3654  |
|          |      8  |      1.0039  |     0.9434  |   0.9142  |               |              2.6439  |
|          |      9  |      0.9878  |     0.9492  |   0.9249  |               |              2.8995  |
