------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.2148  |     0.8291  |   0.8058  |               |              1.3120  |
|          |      3  |      1.1426  |     0.8789  |   0.7545  |               |              1.6916  |
|          |      4  |      1.1377  |     0.8594  |   0.8428  |               |              2.0756  |
|          |      5  |      1.0928  |     0.8936  |   0.8471  |               |              2.4544  |
|          |      6  |      1.0576  |     0.9082  |   0.8694  |               |              2.8358  |
|          |      7  |      1.0049  |     0.9453  |   0.8986  |               |              3.2158  |
|          |      8  |      0.9741  |     0.9619  |   0.9185  |               |              3.5963  |
|          |      9  |      0.9341  |     0.9824  |   0.9280  |               |              3.9457  |
|          |   eval  |      0.9341  |     0.9824  |   0.9280  |       0.9380  |              4.1171  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9389    Std: 0.0013
Mean training time (s): 3.8464    Std: 0.0426
/workspace/ESE3060-Final-Project/logs/alt_translate/20251209-021822/log.pt
