------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      3  |      1.1064  |     0.8984  |   0.8186  |               |              1.7046  |
|          |      4  |      1.0664  |     0.9199  |   0.8868  |               |              2.0898  |
|          |      5  |      1.0332  |     0.9395  |   0.8803  |               |              2.4726  |
|          |      6  |      1.0156  |     0.9375  |   0.9036  |               |              2.8545  |
|          |      7  |      0.9946  |     0.9658  |   0.9051  |               |              3.2703  |
|          |      8  |      0.9785  |     0.9658  |   0.9106  |               |              3.6859  |
|          |      9  |      0.9844  |     0.9678  |   0.9148  |               |              4.0686  |
|          |   eval  |      0.9844  |     0.9678  |   0.9148  |       0.9257  |              4.2392  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4014  |     0.7432  |   0.7144  |               |              0.4193  |
|          |      1  |      1.2539  |     0.8145  |   0.7782  |               |              0.8357  |
|          |      2  |      1.1680  |     0.8555  |   0.8360  |               |              1.2528  |
|          |      3  |      1.0986  |     0.9033  |   0.8247  |               |              1.6356  |
|          |      4  |      1.0918  |     0.9014  |   0.8836  |               |              2.0191  |
|          |      5  |      1.0420  |     0.9297  |   0.8938  |               |              2.4028  |
|          |      6  |      1.0176  |     0.9473  |   0.8989  |               |              2.7847  |
|          |      7  |      0.9961  |     0.9580  |   0.9066  |               |              3.2022  |
|          |      8  |      0.9863  |     0.9609  |   0.9140  |               |              3.6180  |
|          |      9  |      0.9683  |     0.9746  |   0.9158  |               |              4.0011  |
|          |   eval  |      0.9683  |     0.9746  |   0.9158  |       0.9256  |              4.1719  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4092  |     0.7275  |   0.6933  |               |              0.4201  |
|          |      1  |      1.2451  |     0.8193  |   0.7949  |               |              0.8371  |
|          |      2  |      1.1650  |     0.8643  |   0.8560  |               |              1.2533  |
|          |      3  |      1.1133  |     0.8887  |   0.8710  |               |              1.6372  |
|          |      4  |      1.0771  |     0.9092  |   0.8887  |               |              2.0218  |
|          |      5  |      1.0596  |     0.9189  |   0.8862  |               |              2.4060  |
|          |      6  |      1.0078  |     0.9434  |   0.8998  |               |              2.7906  |
|          |      7  |      0.9834  |     0.9668  |   0.9103  |               |              3.2058  |
|          |      8  |      0.9785  |     0.9717  |   0.9162  |               |              3.6213  |
|          |      9  |      0.9712  |     0.9668  |   0.9188  |               |              4.0034  |
|          |   eval  |      0.9712  |     0.9668  |   0.9188  |       0.9261  |              4.1743  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4473  |     0.7070  |   0.6910  |               |              0.4210  |
|          |      1  |      1.2715  |     0.8057  |   0.7601  |               |              0.8385  |
|          |      2  |      1.1621  |     0.8730  |   0.8141  |               |              1.2547  |
|          |      3  |      1.1016  |     0.9033  |   0.8237  |               |              1.6384  |
|          |      4  |      1.0518  |     0.9287  |   0.8563  |               |              2.0219  |
|          |      5  |      1.0625  |     0.9238  |   0.8895  |               |              2.4059  |
|          |      6  |      1.0127  |     0.9502  |   0.8931  |               |              2.7888  |
|          |      7  |      0.9854  |     0.9619  |   0.9098  |               |              3.2063  |
|          |      8  |      0.9927  |     0.9619  |   0.9127  |               |              3.6223  |
|          |      9  |      0.9629  |     0.9785  |   0.9165  |               |              4.0047  |
|          |   eval  |      0.9629  |     0.9785  |   0.9165  |       0.9299  |              4.1773  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4473  |     0.7080  |   0.6930  |               |              0.4193  |
|          |      1  |      1.2451  |     0.8213  |   0.8068  |               |              0.8359  |
|          |      2  |      1.1562  |     0.8711  |   0.8426  |               |              1.2552  |
|          |      3  |      1.1367  |     0.8789  |   0.8349  |               |              1.6394  |
|          |      4  |      1.0781  |     0.9141  |   0.8927  |               |              2.0244  |
|          |      5  |      1.0264  |     0.9355  |   0.8867  |               |              2.4086  |
|          |      6  |      1.0225  |     0.9482  |   0.9048  |               |              2.7924  |
|          |      7  |      1.0068  |     0.9492  |   0.9056  |               |              3.2117  |
|          |      8  |      0.9766  |     0.9717  |   0.9164  |               |              3.6303  |
|          |      9  |      0.9736  |     0.9688  |   0.9184  |               |              4.0141  |
|          |   eval  |      0.9736  |     0.9688  |   0.9184  |       0.9258  |              4.1837  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4492  |     0.7090  |   0.6822  |               |              0.4214  |
|          |      1  |      1.2285  |     0.8223  |   0.7384  |               |              0.8405  |
|          |      2  |      1.1621  |     0.8643  |   0.8279  |               |              1.2589  |
|          |      3  |      1.1250  |     0.8730  |   0.8009  |               |              1.6439  |
|          |      4  |      1.0898  |     0.8945  |   0.8884  |               |              2.0284  |
|          |      5  |      1.0430  |     0.9258  |   0.8937  |               |              2.4134  |
|          |      6  |      1.0205  |     0.9434  |   0.9004  |               |              2.7989  |
|          |      7  |      0.9858  |     0.9619  |   0.9122  |               |              3.2171  |
|          |      8  |      0.9692  |     0.9756  |   0.9182  |               |              3.6346  |
|          |      9  |      0.9702  |     0.9766  |   0.9199  |               |              4.0189  |
|          |   eval  |      0.9702  |     0.9766  |   0.9199  |       0.9282  |              4.1886  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4062  |     0.7148  |   0.6454  |               |              0.4201  |
|          |      1  |      1.2588  |     0.8125  |   0.7519  |               |              0.8366  |
|          |      2  |      1.1641  |     0.8652  |   0.7628  |               |              1.2570  |
|          |      3  |      1.1201  |     0.8857  |   0.8615  |               |              1.6401  |
|          |      4  |      1.0918  |     0.9043  |   0.8829  |               |              2.0288  |
|          |      5  |      1.0625  |     0.9189  |   0.8786  |               |              2.4120  |
|          |      6  |      1.0273  |     0.9355  |   0.9014  |               |              2.7986  |
|          |      7  |      1.0020  |     0.9600  |   0.9064  |               |              3.2168  |
|          |      8  |      0.9839  |     0.9639  |   0.9130  |               |              3.6348  |
|          |      9  |      0.9873  |     0.9609  |   0.9174  |               |              4.0206  |
|          |   eval  |      0.9873  |     0.9609  |   0.9174  |       0.9256  |              4.1916  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4580  |     0.6934  |   0.6373  |               |              0.4208  |
|          |      1  |      1.2285  |     0.8369  |   0.7287  |               |              0.8408  |
|          |      2  |      1.1543  |     0.8633  |   0.8279  |               |              1.2574  |
|          |      3  |      1.1055  |     0.8926  |   0.8732  |               |              1.6442  |
|          |      4  |      1.0713  |     0.9102  |   0.8796  |               |              2.0296  |
|          |      5  |      1.0488  |     0.9238  |   0.8971  |               |              2.4155  |
|          |      6  |      1.0029  |     0.9492  |   0.9066  |               |              2.8017  |
|          |      7  |      1.0059  |     0.9541  |   0.9098  |               |              3.2206  |
|          |      8  |      0.9854  |     0.9648  |   0.9159  |               |              3.6390  |
|          |      9  |      0.9727  |     0.9736  |   0.9196  |               |              4.0247  |
|          |   eval  |      0.9727  |     0.9736  |   0.9196  |       0.9299  |              4.1973  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.3975  |     0.7246  |   0.6772  |               |              0.4215  |
|          |      1  |      1.2324  |     0.8379  |   0.8068  |               |              0.8419  |
|          |      2  |      1.1670  |     0.8691  |   0.7832  |               |              1.2617  |
|          |      3  |      1.0967  |     0.8975  |   0.8465  |               |              1.6480  |
|          |      4  |      1.0654  |     0.9150  |   0.8831  |               |              2.0340  |
|          |      5  |      1.0420  |     0.9258  |   0.8910  |               |              2.4217  |
|          |      6  |      1.0068  |     0.9561  |   0.9004  |               |              2.8082  |
|          |      7  |      0.9839  |     0.9668  |   0.9122  |               |              3.2257  |
|          |      8  |      0.9790  |     0.9609  |   0.9179  |               |              3.6433  |
|          |      9  |      0.9795  |     0.9697  |   0.9196  |               |              4.0284  |
|          |   eval  |      0.9795  |     0.9697  |   0.9196  |       0.9274  |              4.1996  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4150  |     0.7168  |   0.6674  |               |              0.4205  |
|          |      1  |      1.2402  |     0.8350  |   0.7557  |               |              0.8378  |
