------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      7  |      1.3669  |     0.9346  |   0.8801  |               |              3.2161  |
|          |      8  |      0.6640  |     0.9375  |   0.8979  |               |              3.5995  |
|          |      9  |      0.1834  |     0.9619  |   0.9299  |               |              3.9561  |
|          |   eval  |      0.1834  |     0.9619  |   0.9299  |       0.9361  |              4.1291  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.8849  |     0.7100  |   0.6224  |               |              0.4195  |
|          |      1  |      1.7961  |     0.7861  |   0.7655  |               |              0.8360  |
|          |      2  |      1.7347  |     0.8467  |   0.8244  |               |              1.2549  |
|          |      3  |      1.7059  |     0.8594  |   0.8271  |               |              1.6381  |
|          |      4  |      1.7129  |     0.8516  |   0.8436  |               |              2.0278  |
|          |      5  |      1.6731  |     0.8984  |   0.8510  |               |              2.4122  |
|          |      6  |      1.6549  |     0.9121  |   0.8887  |               |              2.7972  |
|          |      7  |      1.3747  |     0.9199  |   0.8876  |               |              3.1818  |
|          |      8  |      0.6677  |     0.9434  |   0.9000  |               |              3.5668  |
|          |      9  |      0.1557  |     0.9707  |   0.9321  |               |              3.9211  |
|          |   eval  |      0.1557  |     0.9707  |   0.9321  |       0.9398  |              4.0928  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.8855  |     0.6924  |   0.6303  |               |              0.4190  |
|          |      1  |      1.7890  |     0.7891  |   0.7035  |               |              0.8370  |
|          |      2  |      1.7416  |     0.8271  |   0.8049  |               |              1.2591  |
|          |      3  |      1.7180  |     0.8672  |   0.8140  |               |              1.6429  |
|          |      4  |      1.7092  |     0.8496  |   0.8322  |               |              2.0336  |
|          |      5  |      1.6880  |     0.8838  |   0.8639  |               |              2.4180  |
|          |      6  |      1.6407  |     0.9316  |   0.8684  |               |              2.8070  |
|          |      7  |      1.3538  |     0.9453  |   0.9002  |               |              3.1917  |
|          |      8  |      0.6692  |     0.9453  |   0.8975  |               |              3.5773  |
|          |      9  |      0.1659  |     0.9639  |   0.9298  |               |              3.9341  |
|          |   eval  |      0.1659  |     0.9639  |   0.9298  |       0.9376  |              4.1069  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.9013  |     0.6807  |   0.6514  |               |              0.4207  |
|          |      1  |      1.7948  |     0.7891  |   0.6927  |               |              0.8398  |
|          |      2  |      1.7376  |     0.8564  |   0.8338  |               |              1.2586  |
|          |      3  |      1.7002  |     0.8818  |   0.8012  |               |              1.6422  |
|          |      4  |      1.6895  |     0.8867  |   0.8696  |               |              2.0291  |
|          |      5  |      1.6884  |     0.8818  |   0.8690  |               |              2.4150  |
|          |      6  |      1.6501  |     0.9238  |   0.8993  |               |              2.7999  |
|          |      7  |      1.3645  |     0.9316  |   0.8856  |               |              3.1877  |
|          |      8  |      0.6767  |     0.9326  |   0.9019  |               |              3.5725  |
|          |      9  |      0.1478  |     0.9785  |   0.9299  |               |              3.9271  |
|          |   eval  |      0.1478  |     0.9785  |   0.9299  |       0.9376  |              4.1001  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.9019  |     0.6797  |   0.6646  |               |              0.4217  |
|          |      1  |      1.7809  |     0.8096  |   0.7585  |               |              0.8420  |
|          |      2  |      1.7403  |     0.8359  |   0.8053  |               |              1.2616  |
|          |      3  |      1.7183  |     0.8574  |   0.7911  |               |              1.6481  |
|          |      4  |      1.7031  |     0.8779  |   0.8698  |               |              2.0354  |
|          |      5  |      1.6687  |     0.8984  |   0.8737  |               |              2.4215  |
|          |      6  |      1.6573  |     0.9170  |   0.8912  |               |              2.8059  |
|          |      7  |      1.3746  |     0.9180  |   0.8892  |               |              3.1920  |
|          |      8  |      0.6529  |     0.9512  |   0.9037  |               |              3.5793  |
|          |      9  |      0.1596  |     0.9668  |   0.9313  |               |              3.9337  |
|          |   eval  |      0.1596  |     0.9668  |   0.9313  |       0.9378  |              4.1073  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.9061  |     0.6748  |   0.6213  |               |              0.4194  |
|          |      1  |      1.7794  |     0.8008  |   0.7105  |               |              0.8385  |
|          |      2  |      1.7365  |     0.8408  |   0.8063  |               |              1.2596  |
|          |      3  |      1.7286  |     0.8457  |   0.8289  |               |              1.6447  |
|          |      4  |      1.7002  |     0.8652  |   0.8715  |               |              2.0320  |
|          |      5  |      1.6930  |     0.8789  |   0.7640  |               |              2.4181  |
|          |      6  |      1.6583  |     0.9141  |   0.8818  |               |              2.8032  |
|          |      7  |      1.3733  |     0.9336  |   0.8774  |               |              3.1897  |
|          |      8  |      0.6621  |     0.9453  |   0.8930  |               |              3.5753  |
|          |      9  |      0.1761  |     0.9619  |   0.9309  |               |              3.9312  |
|          |   eval  |      0.1761  |     0.9619  |   0.9309  |       0.9368  |              4.1042  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.8786  |     0.7012  |   0.6332  |               |              0.4192  |
|          |      1  |      1.7891  |     0.8096  |   0.7613  |               |              0.8373  |
|          |      2  |      1.7301  |     0.8643  |   0.8126  |               |              1.2567  |
|          |      3  |      1.7086  |     0.8711  |   0.8377  |               |              1.6424  |
|          |      4  |      1.6930  |     0.8730  |   0.8519  |               |              2.0306  |
|          |      5  |      1.6909  |     0.8770  |   0.8285  |               |              2.4169  |
|          |      6  |      1.6526  |     0.9219  |   0.8901  |               |              2.8034  |
|          |      7  |      1.3722  |     0.9277  |   0.8806  |               |              3.1906  |
|          |      8  |      0.6774  |     0.9316  |   0.8996  |               |              3.5759  |
|          |      9  |      0.1909  |     0.9570  |   0.9311  |               |              3.9331  |
|          |   eval  |      0.1909  |     0.9570  |   0.9311  |       0.9389  |              4.1063  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.9045  |     0.6680  |   0.6196  |               |              0.4202  |
|          |      1  |      1.7788  |     0.8164  |   0.7700  |               |              0.8391  |
|          |      2  |      1.7317  |     0.8418  |   0.8065  |               |              1.2603  |
|          |      3  |      1.7130  |     0.8574  |   0.8152  |               |              1.6451  |
|          |      4  |      1.6917  |     0.8721  |   0.8402  |               |              2.0345  |
|          |      5  |      1.6848  |     0.8877  |   0.8645  |               |              2.4206  |
|          |      6  |      1.6463  |     0.9297  |   0.8989  |               |              2.8069  |
|          |      7  |      1.3929  |     0.9121  |   0.8870  |               |              3.1936  |
|          |      8  |      0.6916  |     0.9238  |   0.9005  |               |              3.5795  |
|          |      9  |      0.1763  |     0.9590  |   0.9292  |               |              3.9353  |
|          |   eval  |      0.1763  |     0.9590  |   0.9292  |       0.9371  |              4.1087  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.8800  |     0.6982  |   0.6160  |               |              0.4204  |
|          |      1  |      1.8015  |     0.7891  |   0.7343  |               |              0.8400  |
|          |      2  |      1.7384  |     0.8496  |   0.7185  |               |              1.2616  |
|          |      3  |      1.7083  |     0.8652  |   0.8245  |               |              1.6482  |
|          |      4  |      1.6968  |     0.8760  |   0.8240  |               |              2.0360  |
|          |      5  |      1.6783  |     0.9014  |   0.8289  |               |              2.4226  |
|          |      6  |      1.6434  |     0.9307  |   0.8829  |               |              2.8091  |
|          |      7  |      1.3540  |     0.9443  |   0.8784  |               |              3.1961  |
|          |      8  |      0.6565  |     0.9492  |   0.8862  |               |              3.5831  |
|          |      9  |      0.1641  |     0.9688  |   0.9306  |               |              3.9392  |
|          |   eval  |      0.1641  |     0.9688  |   0.9306  |       0.9370  |              4.1121  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.8876  |     0.6875  |   0.6552  |               |              0.4206  |
