------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.2305  |     0.8184  |   0.6264  |               |              1.2686  |
|          |      3  |      1.1650  |     0.8535  |   0.8281  |               |              1.6566  |
|          |      4  |      1.1270  |     0.8691  |   0.8287  |               |              2.0442  |
|          |      5  |      1.0928  |     0.8945  |   0.8128  |               |              2.4319  |
|          |      6  |      1.0439  |     0.9189  |   0.8692  |               |              2.8203  |
|          |      7  |      1.0205  |     0.9375  |   0.8964  |               |              3.2084  |
|          |      8  |      0.9717  |     0.9570  |   0.9181  |               |              3.5966  |
|          |      9  |      0.9458  |     0.9795  |   0.9293  |               |              3.9538  |
|          |   eval  |      0.9458  |     0.9795  |   0.9293  |       0.9376  |              4.1239  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4355  |     0.7031  |   0.6355  |               |              0.4229  |
|          |      1  |      1.2402  |     0.8135  |   0.6789  |               |              0.8445  |
|          |      2  |      1.2021  |     0.8350  |   0.8297  |               |              1.2671  |
|          |      3  |      1.1748  |     0.8428  |   0.7582  |               |              1.6538  |
|          |      4  |      1.1426  |     0.8633  |   0.8608  |               |              2.0431  |
|          |      5  |      1.1074  |     0.8799  |   0.8342  |               |              2.4297  |
|          |      6  |      1.0498  |     0.9199  |   0.8834  |               |              2.8179  |
|          |      7  |      1.0332  |     0.9238  |   0.8918  |               |              3.2049  |
|          |      8  |      0.9629  |     0.9668  |   0.9178  |               |              3.5928  |
|          |      9  |      0.9360  |     0.9795  |   0.9281  |               |              3.9503  |
|          |   eval  |      0.9360  |     0.9795  |   0.9281  |       0.9382  |              4.1219  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4014  |     0.7236  |   0.6847  |               |              0.4227  |
|          |      1  |      1.2646  |     0.8096  |   0.6947  |               |              0.8452  |
|          |      2  |      1.2266  |     0.8203  |   0.7413  |               |              1.2689  |
|          |      3  |      1.1484  |     0.8662  |   0.8171  |               |              1.6552  |
|          |      4  |      1.1084  |     0.8809  |   0.8368  |               |              2.0456  |
|          |      5  |      1.0977  |     0.8936  |   0.8597  |               |              2.4329  |
|          |      6  |      1.0244  |     0.9414  |   0.8996  |               |              2.8213  |
|          |      7  |      1.0059  |     0.9492  |   0.9035  |               |              3.2094  |
|          |      8  |      0.9512  |     0.9648  |   0.9245  |               |              3.5964  |
|          |      9  |      0.9404  |     0.9824  |   0.9313  |               |              3.9549  |
|          |   eval  |      0.9404  |     0.9824  |   0.9313  |       0.9392  |              4.1264  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4629  |     0.6875  |   0.6467  |               |              0.4261  |
|          |      1  |      1.2910  |     0.7861  |   0.6551  |               |              0.8495  |
|          |      2  |      1.1895  |     0.8447  |   0.7641  |               |              1.2720  |
|          |      3  |      1.1602  |     0.8584  |   0.8031  |               |              1.6607  |
|          |      4  |      1.1133  |     0.8799  |   0.8387  |               |              2.0486  |
|          |      5  |      1.0879  |     0.8975  |   0.8129  |               |              2.4364  |
|          |      6  |      1.0479  |     0.9141  |   0.8711  |               |              2.8245  |
|          |      7  |      1.0127  |     0.9385  |   0.8982  |               |              3.2129  |
|          |      8  |      0.9619  |     0.9717  |   0.9205  |               |              3.6009  |
|          |      9  |      0.9482  |     0.9736  |   0.9290  |               |              3.9584  |
|          |   eval  |      0.9482  |     0.9736  |   0.9290  |       0.9381  |              4.1292  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4395  |     0.6963  |   0.6286  |               |              0.4393  |
|          |      1  |      1.2471  |     0.8164  |   0.7528  |               |              0.8611  |
|          |      2  |      1.1777  |     0.8506  |   0.7904  |               |              1.2864  |
|          |      3  |      1.1582  |     0.8594  |   0.7909  |               |              1.6731  |
|          |      4  |      1.0967  |     0.8975  |   0.8641  |               |              2.0648  |
|          |      5  |      1.0762  |     0.9053  |   0.8757  |               |              2.4525  |
|          |      6  |      1.0381  |     0.9268  |   0.8809  |               |              2.8415  |
|          |      7  |      1.0273  |     0.9238  |   0.9006  |               |              3.2297  |
|          |      8  |      0.9561  |     0.9717  |   0.9173  |               |              3.6181  |
|          |      9  |      0.9575  |     0.9707  |   0.9315  |               |              3.9771  |
|          |   eval  |      0.9575  |     0.9707  |   0.9315  |       0.9396  |              4.1482  |
